FQ,QX,dQX,QY,dQY,A,dA,phi,dphi
154.0,-2.62175e-05,1.3131615130573238e-05,-1.8269999999999996e-05,1.2314384069047058e-05,3.1955440949077824e-05,1.2870189387818264e-05,-2.5329753089972304,0.39390345454958914
159.21,3.162500000000001e-06,2.949832357524746e-06,1.8900000000000001e-06,3.0221155669497486e-06,3.6842239684905163e-06,2.9690255441739816e-06,0.5386738951542904,0.815168054885685
164.154,-2.9250000000000006e-07,1.079335877982382e-06,-3.2499999999999996e-07,1.0235508047967136e-06,4.372427815298956e-07,1.0488822409859942e-06,-2.3036114285814033,2.412243587494203
168.84400000000002,-9.550000000000002e-07,5.68032789546519e-07,1.6749999999999996e-07,8.72082815734836e-07,9.695778720659832e-07,5.794214140080197e-07,2.9679660105859194,0.8916849400950744
173.29599999999994,-1.000000000000001e-08,1.8820201911775544e-07,-1.9249999999999998e-07,1.6689349148483895e-07,1.9275956526201235e-07,1.6695448982154618e-07,-1.6226977252530697,0.9760756058408786
177.52,-1.2749999999999997e-07,7.022063443176798e-08,-1.8499999999999998e-07,6.413852196613203e-08,2.2468032846691314e-07,6.615818329559938e-08,-2.1742298042331587,0.30408167266033387
181.5279999999999,3e-08,5.1405252649899506e-08,-1e-07,5.545268253204707e-08,1.0440306508910549e-07,5.5129746877939555e-08,-1.2793395323170296,0.495688845985403
185.33199999999994,-3.5e-08,3.4113780206831363e-08,-1.8500000000000003e-07,5.087976021956078e-08,1.8828170383762733e-07,5.039353242246572e-08,-1.7577755967138078,0.1849783191645878
188.94000000000003,-8.250000000000003e-08,3.1479159772776654e-08,-1.525e-07,2.9890424888248076e-08,1.7338540884399703e-07,3.025742593685597e-08,-2.0666908182309567,0.17952241337496713
192.366,-1e-07,4.2130748865881794e-08,-1.525e-07,3.9761004765976416e-08,1.8236296224836882e-07,4.04881611451405e-08,-2.151194514188771,0.22719761792210696
195.616,-1.7499999999999995e-08,5.388355500521472e-08,-1.1250000000000001e-07,5.872339823273173e-08,1.1385297536735701e-07,5.8613662359042426e-08,-1.7251151027210156,0.47432140715881316
198.69999999999993,2.2999999999999976e-07,4.222173610831274e-07,-9.775e-07,4.198284619937052e-07,1.0041943288029464e-06,4.199541190298816e-07,-1.3397056595989998,0.4203293781976745
201.6260000000001,-3e-08,2.6373281934564e-07,-2.8249999999999994e-07,2.812755543946185e-07,2.8408845453485075e-07,2.810859622991133e-07,-1.6765944997186903,0.9290587941518367
204.404,-1.375e-07,5.6995065575889984e-08,-2.3250000000000005e-07,5.559620040974024e-08,2.7011571594411166e-07,5.596203487042916e-08,-2.1048667060315043,0.20967274739291314
207.038,-7.5e-08,2.6575364531836614e-08,-1.7e-07,4.068169121361598e-08,1.8580904176062046e-07,3.87353134907122e-08,-1.9862884227357873,0.15790312145331217
209.54000000000002,-2.2499999999999996e-08,3.596439211219897e-08,-1.1249999999999998e-07,3.119995993587171e-08,1.1472793905583764e-07,3.139657930902175e-08,-1.7681918866447774,0.31198044691114246
211.9119999999999,-8.500000000000001e-08,2.786126343151006e-08,-1.5000000000000002e-07,3.221024681681281e-08,1.7240939649566669e-07,3.120897643724835e-08,-2.086345334253876,0.16807921855077265
214.1639999999999,-7.5e-09,3.575524437058149e-08,-1.3249999999999995e-07,3.3777766355992216e-08,1.3271209439986994e-07,3.3784266178724645e-08,-1.627339763739714,0.2693733609600152
216.3000000000001,-5.750000000000001e-08,3.4145826977831415e-08,-2e-07,3.708099243547831e-08,2.0810153771656757e-07,3.686514556653473e-08,-1.8507461493186879,0.16520181300795705
218.32800000000003,-2.5e-08,3.307189138830738e-08,-1.8499999999999998e-07,3.144439536706025e-08,1.8668154702594465e-07,3.1474323984818025e-08,-1.7051177687478651,0.17700415656255664
220.252,-9.000000000000001e-08,3.1937438845342624e-08,-2.0999999999999997e-07,3.438749772809879e-08,2.2847319317591722e-07,3.401888420801923e-08,-1.9756881130799802,0.14150365992053934
222.07800000000003,-1.5e-08,2.694902595642373e-08,-2.0999999999999997e-07,2.7064737205448718e-08,2.1053503271427298e-07,2.7064151087955354e-08,-1.642103791580187,0.12800536913163976
223.81,-4.75e-08,2.7720705257983603e-08,-2.0250000000000002e-07,2.2769222648127448e-08,2.0799639419951494e-07,2.305375542652667e-08,-1.8011987628537582,0.1321394516752048
225.45400000000004,-8e-08,3.1701734968294716e-08,-1.2e-07,3.286335345030996e-08,1.4422205101855956e-07,3.251035338047061e-08,-2.1587989303424644,0.2223213330922811
227.01400000000007,-8.249999999999999e-08,4.004294569584011e-08,-2.0999999999999997e-07,3.850324661635691e-08,2.2562413434736982e-07,3.8712653541173005e-08,-1.9451299428024806,0.1765792107546637
