FQ,QX,dQX,QY,dQY,A,dA,phi,dphi
1374.0,-8.25e-08,1.879993351052072e-08,-1.9749999999999996e-07,7.479137650825796e-09,2.1403854793003987e-07,1.0006814697094768e-08,-1.9664859188494792,0.08215895279935187
1397.2752801046436,-7.25e-08,1.4779631253857452e-08,-1.8249999999999995e-07,9.536115561380324e-09,1.9637336886655477e-07,1.040751407737047e-08,-1.9489386421174981,0.07220691513045688
1418.9848415273516,-4.75e-08,1.1976539567003483e-08,-1.7749999999999994e-07,1.1976539567003483e-08,1.8374574825012954e-07,1.1976539567003482e-08,-1.832275142507146,0.06517995480744432
1439.234009530804,-4.2500000000000003e-08,1.3818013605435476e-08,-2.0249999999999991e-07,6.5907131632320315e-09,2.0691181696558552e-07,7.047020129156005e-09,-1.7776702757746399,0.0656848493989816
1458.1210241898452,-5.499999999999999e-08,1.0547511554864492e-08,-1.6499999999999996e-07,1.2298373876248843e-08,1.7392527130926083e-07,1.2134661099511596e-08,-1.892546881191539,0.061724527988247124
1475.737517009205,-6e-08,1.2041594578792295e-08,-1.9249999999999993e-07,1.1333026956643136e-08,2.0163395051429204e-07,1.1397546410583241e-08,-1.8729415503343343,0.05941729566361879
1492.1689554793393,-8.249999999999999e-08,1.5919720474932965e-08,-1.7249999999999996e-07,1.197653956700348e-08,1.912132317597294e-07,1.2802906821379392e-08,-2.0169018757383004,0.07982212309033289
1507.4950577271773,-6.749999999999999e-08,1.1871710070583764e-08,-1.8999999999999998e-07,1.5652475842498528e-08,2.016339505142921e-07,1.5275403797730024e-08,-1.9121522120487435,0.06126507245015223
1521.7901792734806,-5e-08,1.2747548783981961e-08,-1.9249999999999998e-07,8.856494791959176e-09,1.98887531031988e-07,9.151521492692969e-09,-1.8249210763505308,0.06303778858885317
1535.1236737731942,-5.5e-08,1.2196310917650463e-08,-1.9499999999999999e-07,1.1124297730643491e-08,2.0260799589354807e-07,1.1206795506737937e-08,-1.845706168275569,0.059822664135076996
1547.5602294889352,-6e-08,1.3509256086106298e-08,-1.8999999999999998e-07,8.366600265340755e-09,1.9924858845171272e-07,8.9555296512832e-09,-1.8766751981997487,0.06587876978922536
1559.1601831300493,-6.250000000000001e-08,1.0532687216470447e-08,-2.075e-07,7.310095758606723e-09,2.1670832932769337e-07,7.630218796824255e-09,-1.8633580931987441,0.04754382674480856
1569.9798125798402,-8.749999999999998e-08,1.2183492931011204e-08,-1.6749999999999996e-07,1.3818013605435478e-08,1.8897751188964253e-07,1.3484291117086817e-08,-2.0521935508522002,0.0664197981435473
1580.0716099311562,-5.75e-08,1.1333026956643136e-08,-1.9499999999999996e-07,1.1124297730643493e-08,2.033008853891197e-07,1.11411387051215e-08,-1.857541730926838,0.05566366092719541
1589.4845361549833,-7.75e-08,1.638406237781094e-08,-1.7e-07,1.4747881203752627e-08,1.8683214391533377e-07,1.5042098116834985e-08,-1.9985312391811387,0.08625049969775868
1598.264258637585,-6.499999999999999e-08,1.2298373876248843e-08,-1.8249999999999997e-07,1.1333026956643135e-08,1.937298376605937e-07,1.1445766390960296e-08,-1.9129522118780768,0.06294084699761926
1606.4533727386158,-5e-08,1.1180339887498949e-08,-1.8249999999999997e-07,9.536115561380324e-09,1.892253947016626e-07,9.660007815921554e-09,-1.8382071239787703,0.05852000214431912
1614.091608445108,-7.5e-08,1.0897247358851683e-08,-1.9249999999999993e-07,6.398241946034865e-09,2.0659440941129064e-07,7.154891946565161e-09,-1.9423141819416057,0.05041808423797564
1621.2160231239297,-3.25e-08,1.1871710070583762e-08,-1.775e-07,1.2487493743742174e-08,1.8045082432618588e-07,1.246799645895746e-08,-1.7518889833261153,0.06590263609974903
1627.8611813078637,-6.749999999999996e-08,1.2386989141837495e-08,-1.925e-07,8.120190884455856e-09,2.0399142138825347e-07,8.69011390913144e-09,-1.908049515116555,0.0587967708658836
1634.0593223875471,-4.75e-08,1.2487493743742177e-08,-1.7499999999999997e-07,1.2990381056766578e-08,1.8133187805788587e-07,1.2956497604112299e-08,-1.8358391866923511,0.06905926532801486
1639.8405170228439,-5.5e-08,1.1672617529928748e-08,-1.8249999999999995e-07,9.536115561380324e-09,1.906075811713689e-07,9.731921379572127e-09,-1.8635094020188938,0.060385186272162335
1645.2328130324877,-3.25e-08,1.0170422803403992e-08,-1.9499999999999999e-07,8.587782018658834e-09,1.9768978223469213e-07,8.634371133143679e-09,-1.7359450042095235,0.051246452403997104
1650.2623714697856,-6e-08,1.5652475842498524e-08,-1.9499999999999996e-07,9.287087810503355e-09,2.040220576310316e-07,9.998986435120798e-09,-1.869295258381076,0.07453886589568896
1654.953593544567,-7.5e-08,1.520690632574555e-08,-1.7499999999999997e-07,1.0307764064044149e-08,1.903943276465977e-07,1.1209217266345491e-08,-1.9756881130799802,0.07644758371515643
1659.329239007141,-5e-08,1.2747548783981961e-08,-1.9249999999999993e-07,1.0170422803403997e-08,1.9888753103198795e-07,1.0352309751485872e-08,-1.8249210763505308,0.06335382094347723
1663.410536568617,-9.999999999999997e-08,1.5e-08,-1.775e-07,1.088289942983946e-08,2.0373082731879334e-07,1.200463844938935e-08,-2.0838542362039356,0.06929874930986771
1667.2172868932903,-6.75e-08,1.591972047493297e-08,-1.8749999999999995e-07,1.165922381636102e-08,1.992799538337963e-07,1.2223681040789998e-08,-1.9163519073766089,0.07773252150348287
1670.7679586627748,-6.25e-08,1.363589014329464e-08,-1.7749999999999997e-07,1.3908181045701123e-08,1.8818209266558811e-07,1.3878407573920624e-08,-1.909352021706581,0.07262217029054996
1674.0797781779406,-6.5e-08,1.3275918047351754e-08,-1.7999999999999997e-07,9.617692030835674e-09,1.9137659209004633e-07,1.0107485483473861e-08,-1.9173351912288386,0.06744255291775794
1677.168812933362,-6.25e-08,1.0532687216470445e-08,-1.8499999999999992e-07,9.420721840708385e-09,1.95272245851785e-07,9.54059415412044e-09,-1.8965954420675672,0.053383057972681565
1680.0500495697504,-7.749999999999999e-08,1.1442792491345807e-08,-1.7499999999999997e-07,1.5206906325745547e-08,1.9139292045423203e-07,1.4656133238739588e-08,-1.9876943972047905,0.06343094102103639
1682.7374665825557,-5e-08,1.4142135623730949e-08,-1.7999999999999997e-07,8.215838362577489e-09,1.86815416922694e-07,8.774474571816895e-09,-1.8417431771333173,0.0738830090444316
1685.2441021394911,-7e-08,1.244989959798873e-08,-1.8999999999999993e-07,1.0368220676663858e-08,2.024845673131658e-07,1.0638459910545918e-08,-1.9237867146218073,0.060349221655559795
1687.582117335999,-6e-08,1.2549900398011133e-08,-1.7000000000000001e-07,8.94427190999916e-09,1.8027756377319947e-07,9.411940043615632e-09,-1.9100889412489412,0.06769055941798328
1689.7628551955484,-7.250000000000001e-08,1.6384062377810943e-08,-1.7000000000000001e-07,1.7818529681205463e-08,1.848140957827622e-07,1.760539267743336e-08,-1.9739119160135956,0.08988965868683818
1691.796895701006,-6.5e-08,1.3275918047351754e-08,-1.7749999999999994e-07,1.1442792491345807e-08,1.8902711445715925e-07,1.1674563106867225e-08,-1.921827213537317,0.06915711351603324
1693.6941071240683,-5.2499999999999994e-08,1.6384062377810943e-08,-2.0250000000000002e-07,1.1442792491345805e-08,2.091948852147203e-07,1.1815139682074894e-08,-1.8244704229335393,0.07704592669056019
1695.463693901785,-5e-08,1.1180339887498949e-08,-1.825e-07,8.856494791959175e-09,1.8922539470166261e-07,9.038169265153269e-09,-1.83820712397877,0.05831137402160959
1697.1142412924476,-8.75e-08,1.6153559979150104e-08,-1.9e-07,9.746794344808965e-09,2.0917994645758947e-07,1.1137096329611648e-08,-2.0023693780184018,0.07280022937738069
1698.6537570274927,-5.000000000000001e-08,1.3693063937629154e-08,-1.8e-07,6.519202405202648e-09,1.8681541692269406e-07,7.272332465188915e-09,-1.8417431771333173,0.07123816556132849
1700.089710161501,-5.5e-08,1.4097872179871682e-08,-1.8749999999999995e-07,6.9597054535375276e-09,1.9540023029669124e-07,7.768292217160091e-09,-1.856125746977032,0.06995377863252289
1701.4290673087717,-6e-08,1.3964240043768941e-08,-1.7499999999999994e-07,1.1989578808281797e-08,1.8499999999999992e-07,1.221232149108461e-08,-1.9010936816241504,0.07443170695801293
1702.678326442277,-7.75e-08,1.2978347352417408e-08,-1.825e-07,1.668644659596524e-08,1.982738005889835e-07,1.617502577013548e-08,-1.9723768669037762,0.06864457271382779
1703.843548418974,-1.7499999999999998e-08,1.0170422803403997e-08,-1.7499999999999997e-07,1.3462912017836257e-08,1.7587282336961555e-07,1.343426883786091e-08,-1.6704649792860586,0.05804323770490296
1704.9303863844234,-7.5e-08,1.3462912017836257e-08,-2.0249999999999997e-07,8.272696053887147e-09,2.159427007333195e-07,9.057911622853836e-09,-1.925501978805837,0.05995874684795718
1705.9441131993694,-5.75e-08,1.288167302798825e-08,-2.0249999999999997e-07,1.5602483776629923e-08,2.105053443502088e-07,1.541606499543844e-08,-1.8474646658767917,0.06225112979418592
