FQ,QX,dQX,QY,dQY,A,dA,phi,dphi
1598.626,-4.75e-08,2.5854158272896832e-08,-1.625e-07,2.471714991660648e-08,1.6930002953337012e-07,2.4808542392116804e-08,-1.8551811033887555,0.15219415428193744
1601.4039999999995,-4.4999999999999986e-08,5.0732139714386173e-08,-2e-07,4.430011286667337e-08,2.0499999999999997e-07,4.4631305720617064e-08,-1.7921107691426879,0.24605375856518155
1604.0380000000002,-6.25e-08,2.3418742493993996e-08,-2.0250000000000005e-07,1.9517620244281828e-08,2.1192569452522744e-07,1.9887326560484463e-08,-1.8701625608522485,0.10902694302871913
1606.5400000000004,-7.5e-08,1.7499999999999998e-08,-1.3999999999999998e-07,2.0493901531919194e-08,1.5882380174268589e-07,1.986541062116942e-08,-2.0626055027835952,0.11465732300479342
1608.912,-6e-08,1.987460691435179e-08,-2.15e-07,1.7356554957709784e-08,2.2321514285549715e-07,1.7550604205494543e-08,-1.8429422173260839,0.08827115684297979
1611.1640000000004,-4.75e-08,2.486840364800282e-08,-2.0000000000000004e-07,1.4577379737113247e-08,2.055632506067172e-07,1.5302771545211866e-08,-1.803976127441713,0.11883800495723966
1613.2999999999995,-7.749999999999997e-08,1.9194725838104587e-08,-2.05e-07,1.691892431568863e-08,2.1916032943943115e-07,1.7219972356265647e-08,-1.932237217688449,0.08635284045722395
1615.3280000000004,-5.75e-08,1.5919720474932965e-08,-1.8249999999999995e-07,1.812284469943943e-08,1.913439311815245e-07,1.7935013539222646e-08,-1.876019460588818,0.08430387561744448
1617.2520000000002,-5.000000000000001e-08,1.8708286933869703e-08,-2.125e-07,1.316956719106592e-08,2.1830311495716227e-07,1.3516648811076182e-08,-1.8018869939907938,0.08455711643181568
1619.0780000000004,-6.999999999999999e-08,1.949358868961793e-08,-1.5749999999999995e-07,2.2714257636999713e-08,1.7235501153143178e-07,2.2215193440247792e-08,-1.9890206563741257,0.11639043970742213
1620.8100000000004,-5.000000000000001e-08,1.7677669529663686e-08,-1.4750000000000002e-07,3.071542771963301e-08,1.5574418127172522e-07,2.9637968162299642e-08,-1.8976229797248374,0.12475643357371174
1622.4540000000006,-5e-08,1.6201851746019647e-08,-1.9499999999999996e-07,1.2196310917650466e-08,2.0130822139197392e-07,1.2480675994836727e-08,-1.8217990134379312,0.07939977277294294
1624.0139999999994,-6.999999999999999e-08,1.6355427233796125e-08,-1.5749999999999997e-07,1.879993351052072e-08,1.723550115314318e-07,1.8419072785241967e-08,-1.9890206563741257,0.09737566450229494
1625.4959999999996,-7.249999999999998e-08,1.8191687662226393e-08,-1.5249999999999997e-07,1.7130017513125893e-08,1.6885644790768278e-07,1.7330625677269387e-08,-2.0145789995445376,0.10660343958897692
1626.9000000000005,-3.9999999999999994e-08,3.251922508301819e-08,-2.0249999999999997e-07,2.8389038377514653e-08,2.064128145246801e-07,2.855493776579233e-08,-1.765816594199818,0.15683932809727424
1628.232,-2.25e-08,2.0147890708458788e-08,-1.8250000000000003e-07,2.5805764859813778e-08,1.8388175548433295e-07,2.573022947570538e-08,-1.6934649822993533,0.11009393282301005
1629.4979999999998,-6.75e-08,2.2157109468520482e-08,-1.9e-07,2.564176280991617e-08,2.0163395051429212e-07,2.5275160408322047e-08,-1.9121522120487435,0.11195736163602767
1630.698,-2.5e-09,2.5611276813154e-08,-1.7499999999999997e-07,2.331844763272204e-08,1.7501785623187134e-07,2.3318938456468906e-08,-1.5850810693822932,0.14633266840773176
1631.838,-4e-08,2.1389249636207433e-08,-2.0249999999999997e-07,3.3067166494878266e-08,2.064128145246801e-07,3.270406744139608e-08,-1.765816594199818,0.10629382365300902
1632.9180000000006,-4.5000000000000006e-08,2.7133927102430265e-08,-1.5999999999999998e-07,2.2527760652137622e-08,1.662077013859466e-07,2.289690152722659e-08,-1.8449637779145556,0.16138337486103718
1633.9439999999997,-8.750000000000001e-08,1.6535945694153693e-08,-1.8249999999999997e-07,2.2157109468520482e-08,2.0239194648009094e-07,2.121991623764673e-08,-2.017870867683085,0.08756568202969568
1634.9180000000006,-5.750000000000001e-08,1.511414900019184e-08,-1.925e-07,1.469481200968559e-08,2.0090420602864442e-07,1.4729610443437486e-08,-1.8610612267239408,0.07506183286738766
1635.84,-2.75e-08,1.390818104570112e-08,-1.9750000000000001e-07,1.7130017513125896e-08,1.994053660260927e-07,1.7074413089885003e-08,-1.7091472969720218,0.07009032976067005
1636.7180000000005,-5.75e-08,2.5562423594017837e-08,-1.725e-07,1.853206680324674e-08,1.818309654596818e-07,1.935038759301735e-08,-1.892546881191539,0.13720818837271243
