FQ,QX,dQX,QY,dQY,A,dA,phi,dphi
4536.348858628315,-2e-08,1.1401754250991376e-08,-1.9249999999999998e-07,1.0767427733679015e-08,1.9353617232961902e-07,1.077439906465345e-08,-1.674321001305441,0.058878743918742746
4558.428775438509,-6.000000000000001e-08,1.5247950681976904e-08,-1.7749999999999994e-07,9.6663074645906e-09,1.8736661922551726e-07,1.0377754154389296e-08,-1.8967662654345425,0.07884509413016114
4578.740070055015,-7.5e-08,1.3919410907075055e-08,-1.85e-07,1.4620191517213446e-08,1.996246477767713e-07,1.4523323084795195e-08,-1.9559538331583708,0.07023407477206453
4597.4244107862305,-6.749999999999999e-08,1.288167302798825e-08,-2e-07,7.905694150420946e-09,2.1108351427811694e-07,8.548529189956853e-09,-1.8962921820313745,0.05904940121866532
4614.612118175223,-8e-08,1.4317821063276351e-08,-1.9249999999999998e-07,1.2881673027988249e-08,2.0846162716432969e-07,1.3103068816575315e-08,-1.9646649375312581,0.06771265888213686
4630.423073966459,-7.749999999999999e-08,1.2487493743742177e-08,-1.8749999999999998e-07,6.9597054535375276e-09,2.0288543565273478e-07,8.007710327473995e-09,-1.9627438522634093,0.058371788757200574
4644.96755726343,-8.249999999999998e-08,1.3358050007392545e-08,-1.9499999999999996e-07,7.826237921249264e-09,2.1173391320239652e-07,8.890518930337536e-09,-1.9710369838288708,0.05986111033771672
4658.3470137092645,-4.7499999999999995e-08,9.6663074645906e-09,-1.825e-07,1.0767427733679015e-08,1.885802216564611e-07,1.0700934333334025e-08,-1.825420992989438,0.05164840018140315
4670.654763055249,-6.499999999999999e-08,1.624038176891171e-08,-2.0249999999999997e-07,8.272696053887147e-09,2.1267639737403863e-07,9.31028571702564e-09,-1.8813949271659245,0.07367358966306829
4681.976650052441,-7.5e-08,1.3462912017836257e-08,-1.9750000000000001e-07,1.1976539567003483e-08,2.1126109438323e-07,1.2173870134827932e-08,-1.9337220978066294,0.06288305302254851
4692.391643206247,-5.75e-08,1.1871710070583764e-08,-1.7499999999999997e-07,9.682458365518542e-09,1.8420437019788642e-07,9.917052722584642e-09,-1.8882550620495278,0.0633885799935921
4701.972385570194,-6e-08,1.3038404810405294e-08,-2.0250000000000002e-07,8.272696053887147e-09,2.1120191760493087e-07,8.754097401301597e-09,-1.8588517738455224,0.06022763389249211
