FQ,QX,dQX,QY,dQY,A,dA,phi,dphi
4701.0,-1.0249999999999997e-07,1.1976539567003483e-08,-1.8499999999999998e-07,1.6240381768911715e-08,2.1149763592059363e-07,1.5345735820299544e-08,-2.0767467260659727,0.061954725208013026
4706.210000000002,-6.749999999999999e-08,1.076742773367901e-08,-1.8249999999999995e-07,6.398241946034863e-09,1.945828872229004e-07,7.068433762865702e-09,-1.9250557494735627,0.05313847415190437
4711.1539999999995,-6.999999999999999e-08,1.0839741694339398e-08,-1.8749999999999995e-07,8.569568250501305e-09,2.001405755962543e-07,8.878489536795387e-09,-1.9281050098029966,0.05290380193224598
4715.843999999999,-1.0499999999999997e-07,2.1183720164314862e-08,-1.475e-07,2.1643417013031934e-08,1.8105593058499903e-07,2.1489909120195937e-08,-2.189440677719644,0.11786098754593559
4720.296000000001,-5.000000000000001e-08,1.0606601717798213e-08,-1.8749999999999995e-07,6.9597054535375276e-09,1.9405218370325024e-07,7.258829935547122e-09,-1.8313987185422378,0.053615353710250946
4724.520000000002,-6.25e-08,1.1110243021644484e-08,-1.9249999999999998e-07,7.310095758606723e-09,2.0239194648009094e-07,7.75324530671414e-09,-1.8847345401314377,0.0533897495562466
4728.528000000001,-4.2500000000000003e-08,1.0170422803403996e-08,-1.8499999999999992e-07,8.732124598286492e-09,1.898189927272821e-07,8.809819065609529e-09,-1.796608008338252,0.053225426898392866
4732.331999999999,-8.249999999999998e-08,9.536115561380324e-09,-1.5749999999999997e-07,1.1333026956643136e-08,1.7779904386694543e-07,1.0971037169913786e-08,-2.0533096218173736,0.05596455507547797
4735.9400000000005,-6.25e-08,1.2183492931011202e-08,-1.7749999999999997e-07,1.1976539567003483e-08,1.8818209266558811e-07,1.1999543136084879e-08,-1.909352021706581,0.06462271279927251
4739.365999999999,-7.5e-08,1.0897247358851683e-08,-1.8749999999999998e-07,6.9597054535375276e-09,2.0194368026754388e-07,7.624682017111859e-09,-1.9513027039072615,0.05171136496184824
4742.615999999999,-8.5e-08,1.8405162319305958e-08,-1.6499999999999996e-07,1.6620770138594657e-08,1.856071119327058e-07,1.701051924182894e-08,-2.046491545649889,0.09722450716322055
4745.699999999999,-1.2499999999999997e-07,5.367727638395971e-08,-2.0999999999999997e-07,5.805170109479997e-08,2.443869881969987e-07,5.693975155952218e-08,-2.1077070695349422,0.22446120568208672
4748.626000000002,-7.750000000000001e-08,2.8389038377514653e-08,-1.325e-07,2.6046832820901658e-08,1.5350081433008753e-07,2.6663423694829092e-08,-2.1000431076267416,0.18117644864483765
4751.4039999999995,2.75e-08,6.378430449569862e-08,-2.5749999999999997e-07,7.117539954225757e-08,2.589642832515712e-07,7.10963353341765e-08,-1.4644034720959924,0.24664567526426634
4754.038,-4.2500000000000003e-08,3.047027239786347e-08,-8.5e-08,3.7433273968489583e-08,9.503288904374106e-08,3.614813273185767e-08,-2.0344439357957027,0.33656107380590544
4756.539999999998,-7.75e-08,1.3451301052314605e-08,-1.55e-07,1.616322987524461e-08,1.732952682562337e-07,1.5658464164789594e-08,-2.0344439357957027,0.0809927991043882
4758.911999999998,-3.5e-08,1.4186260959111107e-08,-1.8499999999999992e-07,1.0665364503850768e-08,1.8828170383762723e-07,1.0806184563651284e-08,-1.7577755967138078,0.07477778555364963
4761.164000000001,-6.25e-08,1.2183492931011204e-08,-1.8249999999999995e-07,5.3326822519253854e-09,1.929054172386042e-07,6.4057843963050234e-09,-1.9007434189414514,0.060418632773695434
4763.300000000001,-3.249999999999999e-08,1.0170422803403996e-08,-1.8499999999999998e-07,1.0665364503850768e-08,1.8783303756261833e-07,1.0650880920997489e-08,-1.7446975159327833,0.054226826853407004
4765.327999999999,-5e-08,1.0606601717798213e-08,-1.8749999999999995e-07,4.841229182759271e-09,1.9405218370325024e-07,5.417597536781356e-09,-1.8313987185422376,0.05320272340190741
4767.252000000002,-6.999999999999999e-08,1.0839741694339398e-08,-1.9249999999999993e-07,5.3326822519253854e-09,2.0483224843759336e-07,6.2320911301115135e-09,-1.9195673303788037,0.050523501710975416
4769.077999999999,-6.749999999999999e-08,1.1333026956643135e-08,-1.7999999999999992e-07,5.477225575051661e-09,1.9224008426964438e-07,6.49123486996013e-09,-1.929566997065469,0.05609814063824387
4770.8099999999995,-6.249999999999997e-08,1.053268721647045e-08,-1.8999999999999995e-07,5.70087712549569e-09,2.0001562438969606e-07,6.337090455018633e-09,-1.8885943326047885,0.050809115760826896
4772.453999999999,-6.999999999999999e-08,1.140175425099138e-08,-1.8249999999999995e-07,6.398241946034863e-09,1.9546419109391874e-07,7.2360126131415045e-09,-1.9370518872256737,0.05571012857032337
4774.013999999999,-6.25e-08,1.2686114456365272e-08,-1.7999999999999997e-07,6.519202405202647e-09,1.9054199012291224e-07,7.432555966202911e-09,-1.9049943710603998,0.06388891457030642
4775.496,-6.499999999999999e-08,9.420721840708385e-09,-1.8999999999999993e-07,4.47213595499958e-09,2.0081085628023195e-07,5.215668011715422e-09,-1.9004207342156394,0.04496931713937694
4776.899999999999,-7.499999999999998e-08,1.14564392373896e-08,-1.8249999999999995e-07,1.1871710070583766e-08,1.9731003522375636e-07,1.1812611777160587e-08,-1.9607141907257488,0.058371918424400454
4778.232000000002,-7.5e-08,9.013878188659972e-09,-1.9249999999999998e-07,5.332682251925385e-09,2.065944094112907e-07,5.949597168918004e-09,-1.9423141819416054,0.041720164353631434
4779.497999999998,-5.2499999999999994e-08,1.029259442511945e-08,-1.7999999999999992e-07,5.477225575051661e-09,1.874999999999999e-07,5.996123747889131e-09,-1.8545904360032246,0.053329066495986364
4780.698000000002,-6.499999999999999e-08,1.0665364503850768e-08,-1.725e-07,1.144279249134581e-08,1.8434003905825774e-07,1.1349031759893445e-08,-1.9311542973196896,0.05839795565415818
4781.838000000002,-6.5e-08,1.1779218989389747e-08,-1.8499999999999998e-07,9.420721840708385e-09,1.9608671551127576e-07,9.707942534052893e-09,-1.9086745150351752,0.05887012700172859
4782.918000000001,-5.75e-08,1.1871710070583766e-08,-1.8499999999999998e-07,5.1234753829797985e-09,1.937298376605937e-07,6.029361098321698e-09,-1.8721415505050008,0.05904244054130588
4783.944000000001,-5.5e-08,1.3647344063956177e-08,-2.0000000000000004e-07,7.905694150420948e-09,2.0742468512691543e-07,8.438045396322595e-09,-1.8391625377008034,0.06423905634436049
4784.918000000001,-7.249999999999998e-08,1.1976539567003483e-08,-1.9499999999999996e-07,6.9821200218844704e-09,2.0804146221366542e-07,7.762037931625016e-09,-1.926754064962882,0.05521225566831161
4785.839999999998,-8.249999999999999e-08,1.1871710070583766e-08,-1.9249999999999993e-07,6.398241946034865e-09,2.094337604112574e-07,7.513637027386296e-09,-1.9756881130799802,0.05347332078531685
4786.717999999998,-4.75e-08,1.029259442511945e-08,-1.9249999999999993e-07,6.398241946034863e-09,1.9827380058898344e-07,6.6834141456511085e-09,-1.8127168954793016,0.05098881709314915
4787.547999999999,-5.250000000000001e-08,1.2978347352417408e-08,-1.7249999999999996e-07,8.996527107723289e-09,1.8031222920256956e-07,9.399751064214635e-09,-1.8662371639386168,0.07037433384737105
4788.338000000002,-8.249999999999998e-08,1.0767427733679015e-08,-1.7749999999999994e-07,8.272696053887147e-09,1.9573579131063378e-07,8.767891286864292e-09,-2.0058802779569427,0.05297026341305468
4789.085999999999,-7.5e-08,9.68245836551854e-09,-1.9e-07,8.366600265340757e-09,2.0426698215815497e-07,8.555803149059962e-09,-1.9467572806662021,0.04658454048514118
4789.797999999999,-8.5e-08,7.984359711335654e-09,-1.9499999999999996e-07,6.9821200218844704e-09,2.1272047386182644e-07,7.151575184832318e-09,-1.981860874184761,0.03682269669277318
4790.471999999999,-6.749999999999999e-08,1.0170422803403994e-08,-1.7749999999999994e-07,1.029259442511945e-08,1.8990129014832939e-07,1.0277239031684761e-08,-1.9341894602901273,0.053638072793312265
4791.111999999998,-7.999999999999995e-08,1.0839741694339398e-08,-1.7749999999999992e-07,6.5907131632320315e-09,1.9469527472437527e-07,7.479440768713646e-09,-1.9942357329546159,0.05262957476062017
4791.717999999998,-8.249999999999999e-08,1.288167302798825e-08,-1.7249999999999996e-07,1.4779631253857449e-08,1.912132317597294e-07,1.4445221461678013e-08,-2.0169018757383004,0.0693235845065465
4792.293999999999,-4.25e-08,1.2386989141837495e-08,-1.85e-07,1.4186260959111103e-08,1.8981899272728217e-07,1.4101530229500973e-08,-1.796608008338252,0.06576456104922646
4792.842000000001,-7.500000000000001e-08,1.7499999999999998e-08,-1.6249999999999995e-07,1.4086784586980806e-08,1.7897276329095437e-07,1.4743487607390195e-08,-2.0032041023654346,0.09470955004496857
4793.36,-6.999999999999999e-08,1.3416407864998736e-08,-1.5749999999999995e-07,1.2881673027988249e-08,1.7235501153143178e-07,1.2971394976210768e-08,-1.9890206563741257,0.07733852072002734
4793.852,-6.999999999999999e-08,1.5572411502397437e-08,-1.8e-07,1.0839741694339398e-08,1.9313207915827965e-07,1.1572420296902031e-08,-1.9416876156075589,0.07785307680246117
4794.3200000000015,-4.25e-08,1.3358050007392545e-08,-1.7499999999999994e-07,1.5612494995995993e-08,1.8008678463451998e-07,1.5495561860336276e-08,-1.8090410849736418,0.07492787052687265
4794.763999999999,-6.25e-08,1.363589014329464e-08,-1.725e-07,1.676119029186173e-08,1.834734313190877e-07,1.642904589487677e-08,-1.9184031865507984,0.07649224973718677
4795.183999999998,-1.1249999999999998e-07,1.2686114456365273e-08,-1.4249999999999999e-07,1.630759025730043e-08,1.8155577655365305e-07,1.502071237795654e-08,-2.2390857456254807,0.07813782629836453
4795.584000000001,-1.2250000000000002e-07,2.7494317594732183e-08,-1.2e-07,2.1330729007701542e-08,1.714825063964252e-07,2.4669229188538533e-08,-2.3665034033385886,0.14312339525633025
4795.962,-7.250000000000002e-08,2.536606985719309e-08,-2.45e-07,2.7590759322642792e-08,2.5550195693966805e-07,2.7418316718402973e-08,-1.858504310343175,0.100008494293469
4796.322,-1e-07,2.3452078799117146e-08,-1.7999999999999997e-07,1.746424919657298e-08,2.0591260281973997e-07,1.9046863754117752e-08,-2.077894831187234,0.10774456396698509
4796.661999999998,-4.000000000000001e-08,2.7294688127912355e-08,-1.75e-07,3.6142080737002394e-08,1.7951323071016242e-07,3.575448834443994e-08,-1.7955074952095393,0.154865898417636
